day,time,Talaso,Gimnasio
tuesday,16:00,68.16666666666667,73.16666666666667
tuesday,16:30,91.33333333333333,88.5
tuesday,17:00,113.83333333333333,96.83333333333333
tuesday,17:30,132.66666666666666,106.33333333333333
tuesday,18:00,148.83333333333334,104.0
tuesday,18:30,151.83333333333334,113.83333333333333
tuesday,19:00,162.16666666666666,125.83333333333333
tuesday,19:30,163.33333333333334,129.0
tuesday,20:00,166.66666666666666,128.0
tuesday,20:30,140.5,120.33333333333333
tuesday,21:00,111.0,102.16666666666667
tuesday,21:30,79.0,81.83333333333333
tuesday,22:00,41.6,53.4
tuesday,22:30,8.5,34.0
wednesday,07:30,0.0,0.0
wednesday,08:00,0.0,45.5
wednesday,08:30,0.0,49.5
wednesday,09:00,4.5,52.5
wednesday,09:30,31.0,61.333333333333336
